iter	Passed	Remaining
0	131	131259
1	135	67550
2	140	46546
3	143	35844
4	147	29429
5	151	25147
6	155	22121
7	161	19993
8	166	18379
9	171	16945
10	174	15731
11	178	14722
12	184	13992
13	189	13320
14	192	12651
15	196	12074
16	200	11595
17	204	11162
18	208	10752
19	212	10429
20	217	10123
21	221	9831
22	224	9543
23	227	9241
24	229	8967
25	232	8715
26	235	8492
27	238	8265
28	240	8037
29	242	7828
30	244	7627
31	245	7433
32	247	7249
33	249	7081
34	251	6927
35	253	6776
36	254	6633
37	256	6489
38	257	6350
39	259	6216
40	261	6108
41	263	5999
42	264	5897
43	266	5800
44	268	5708
45	270	5609
46	272	5526
47	274	5449
48	276	5369
49	278	5297
50	280	5226
51	282	5156
52	285	5093
53	286	5026
54	288	4962
55	290	4898
56	292	4841
57	294	4784
58	296	4732
59	298	4679
60	300	4625
61	302	4571
62	304	4523
63	306	4477
64	308	4433
65	310	4390
66	312	4350
67	314	4308
68	316	4268
69	318	4231
70	320	4195
71	322	4159
72	324	4125
73	326	4091
74	329	4059
75	331	4026
76	333	3993
77	335	3961
78	337	3932
79	339	3902
80	341	3872
81	343	3846
82	344	3808
83	346	3781
84	348	3756
85	351	3731
86	353	3705
87	355	3682
88	357	3660
89	359	3636
90	361	3612
91	364	3600
92	367	3581
93	369	3559
94	371	3535
95	373	3515
96	375	3496
97	377	3475
98	379	3455
99	381	3435
100	384	3418
101	386	3400
102	388	3381
103	390	3363
104	392	3341
105	393	3322
106	395	3303
107	397	3285
108	399	3264
109	400	3243
110	402	3222
111	403	3200
112	404	3178
113	406	3158
114	408	3144
115	410	3130
116	411	3107
117	412	3086
118	414	3066
119	415	3043
120	416	3022
121	417	3001
122	418	2981
123	419	2962
124	420	2941
125	421	2923
126	423	2908
127	425	2895
128	427	2884
129	429	2873
130	431	2860
131	433	2850
132	435	2838
133	437	2827
134	439	2815
135	441	2803
136	443	2792
137	445	2783
138	447	2771
139	449	2760
140	451	2749
141	452	2734
142	454	2724
143	456	2713
144	458	2703
145	460	2693
146	462	2682
147	464	2671
148	465	2661
149	467	2651
150	469	2642
151	471	2632
152	473	2623
153	475	2612
154	477	2602
155	479	2593
156	481	2583
157	483	2574
158	484	2565
159	486	2555
160	487	2542
161	489	2533
162	491	2524
163	493	2515
164	495	2507
165	497	2499
166	499	2491
167	501	2483
168	503	2474
169	505	2466
170	507	2459
171	509	2451
172	511	2443
173	513	2435
174	514	2427
175	516	2419
176	518	2412
177	520	2405
178	522	2398
179	524	2390
180	526	2384
181	529	2377
182	530	2370
183	532	2361
184	534	2354
185	536	2347
186	538	2340
187	540	2336
188	543	2331
189	545	2324
190	546	2314
191	547	2305
192	549	2295
193	550	2286
194	551	2276
195	552	2267
196	554	2258
197	555	2249
198	556	2239
199	557	2230
200	558	2220
201	559	2211
202	560	2201
203	561	2192
204	563	2183
205	563	2173
206	564	2164
207	566	2155
208	567	2146
209	567	2136
210	569	2127
211	569	2118
212	571	2109
213	571	2100
214	572	2091
215	573	2082
216	574	2073
217	575	2064
218	576	2055
219	577	2046
220	578	2037
221	579	2029
222	580	2021
223	581	2013
224	582	2005
225	583	1997
226	584	1990
227	585	1982
228	586	1974
229	587	1966
230	588	1958
231	589	1949
232	589	1942
233	590	1934
